experiment,model,condition,adversarial_type,outcome_metric,n_tasks,spearman_rho,p_value,y_is_constant,p_method
E2,DeepSeek-Coder-V2-16B,adversarial_A8.5,A8.5,severity,11,,,1,scipy.spearmanr
E2,DeepSeek-Coder-V2-16B,adversarial_A8.6,A8.6,count,5,-0.7,0.18812,0,scipy.spearmanr
E2,DeepSeek-Coder-V2-16B,adversarial_A8.6,A8.6,cvr,5,,,1,scipy.spearmanr
E2,DeepSeek-Coder-V2-16B,adversarial_A8.6,A8.6,severity,5,-0.866025,0.057669,0,scipy.spearmanr
E2,DeepSeek-Coder-V2-16B,adversarial_A8.7,A8.7,count,5,0.223607,0.717686,0,scipy.spearmanr
E2,DeepSeek-Coder-V2-16B,adversarial_A8.7,A8.7,cvr,5,,,1,scipy.spearmanr
E2,DeepSeek-Coder-V2-16B,adversarial_A8.7,A8.7,severity,5,,,1,scipy.spearmanr
E2,Qwen2.5-Coder-32B,adversarial_A8.1,A8.1,count,15,0.031027,0.912594,0,scipy.spearmanr
E2,Qwen2.5-Coder-32B,adversarial_A8.1,A8.1,cvr,15,,,1,scipy.spearmanr
E2,Qwen2.5-Coder-32B,adversarial_A8.1,A8.1,severity,15,0.092955,0.741783,0,scipy.spearmanr
E2,Qwen2.5-Coder-32B,adversarial_A8.2,A8.2,count,15,-0.11939,0.671711,0,scipy.spearmanr
E2,Qwen2.5-Coder-32B,adversarial_A8.2,A8.2,cvr,15,,,1,scipy.spearmanr
E2,Qwen2.5-Coder-32B,adversarial_A8.2,A8.2,severity,15,-0.281835,0.308836,0,scipy.spearmanr
E2,Qwen2.5-Coder-32B,adversarial_A8.3,A8.3,count,15,0.100629,0.721217,0,scipy.spearmanr
E2,Qwen2.5-Coder-32B,adversarial_A8.3,A8.3,cvr,15,,,1,scipy.spearmanr
E2,Qwen2.5-Coder-32B,adversarial_A8.3,A8.3,severity,15,,,1,scipy.spearmanr
E2,Qwen2.5-Coder-32B,adversarial_A8.4,A8.4,count,15,-0.164569,0.557809,0,scipy.spearmanr
E2,Qwen2.5-Coder-32B,adversarial_A8.4,A8.4,cvr,15,,,1,scipy.spearmanr
E2,Qwen2.5-Coder-32B,adversarial_A8.4,A8.4,severity,15,,,1,scipy.spearmanr
E2,Qwen2.5-Coder-32B,adversarial_A8.5,A8.5,count,15,0.077339,0.784119,0,scipy.spearmanr
E2,Qwen2.5-Coder-32B,adversarial_A8.5,A8.5,cvr,15,,,1,scipy.spearmanr
E2,Qwen2.5-Coder-32B,adversarial_A8.5,A8.5,severity,15,-0.022737,0.935896,0,scipy.spearmanr
E2,Qwen2.5-Coder-32B,adversarial_A8.6,A8.6,count,15,-0.153155,0.585794,0,scipy.spearmanr
E2,Qwen2.5-Coder-32B,adversarial_A8.6,A8.6,cvr,15,,,1,scipy.spearmanr
E2,Qwen2.5-Coder-32B,adversarial_A8.6,A8.6,severity,15,0.363787,0.182555,0,scipy.spearmanr
E2,Qwen2.5-Coder-32B,adversarial_A8.7,A8.7,count,15,-0.115043,0.683079,0,scipy.spearmanr
E2,Qwen2.5-Coder-32B,adversarial_A8.7,A8.7,cvr,15,,,1,scipy.spearmanr
E2,Qwen2.5-Coder-32B,adversarial_A8.7,A8.7,severity,15,,,1,scipy.spearmanr
E3,CodeLlama-34B,baseline,,count,5,0.3,0.623838,0,scipy.spearmanr
E3,CodeLlama-34B,baseline,,cvr,5,,,1,scipy.spearmanr
E3,CodeLlama-34B,baseline,,severity,5,-0.353553,0.559404,0,scipy.spearmanr
E3,DeepSeek-Coder-V2-16B,baseline,,count,10,-0.530498,0.114672,0,scipy.spearmanr
E3,DeepSeek-Coder-V2-16B,baseline,,cvr,10,,,1,scipy.spearmanr
E3,DeepSeek-Coder-V2-16B,baseline,,severity,10,0.080403,0.825251,0,scipy.spearmanr
E3,Qwen2.5-Coder-32B,baseline,,count,15,-0.015274,0.956914,0,scipy.spearmanr
E3,Qwen2.5-Coder-32B,baseline,,cvr,15,,,1,scipy.spearmanr
E3,Qwen2.5-Coder-32B,baseline,,severity,15,-0.111678,0.691924,0,scipy.spearmanr
