experiment,model,condition,adversarial_type,outcome_metric,tertile,n_tasks,value_mean,ci_lo_95,ci_hi_95,ci_method,n_boot,seed
E1,Qwen2.5-Coder-32B,safety,,count,T_med,5,10.0,8.733333,11.133333,percentile_bootstrap,10000,42
E1,Qwen2.5-Coder-32B,safety,,cvr,T_high,5,1.0,1.0,1.0,percentile_bootstrap,10000,42
E1,Qwen2.5-Coder-32B,safety,,cvr,T_low,5,1.0,1.0,1.0,percentile_bootstrap,10000,42
E1,Qwen2.5-Coder-32B,safety,,cvr,T_med,5,1.0,1.0,1.0,percentile_bootstrap,10000,42
E1,Qwen2.5-Coder-32B,safety,,severity,T_high,5,1.0,1.0,1.0,percentile_bootstrap,10000,42
E1,Qwen2.5-Coder-32B,safety,,severity,T_low,5,0.92,0.76,1.0,percentile_bootstrap,10000,42
E1,Qwen2.5-Coder-32B,safety,,severity,T_med,5,1.0,1.0,1.0,percentile_bootstrap,10000,42
E2,CodeLlama-34B,adversarial_A8.1,A8.1,count,T_high,1,30.0,,,percentile_bootstrap,10000,42
E2,CodeLlama-34B,adversarial_A8.1,A8.1,count,T_low,2,8.0,8.0,8.0,percentile_bootstrap,10000,42
E2,CodeLlama-34B,adversarial_A8.1,A8.1,count,T_med,2,8.0,8.0,8.0,percentile_bootstrap,10000,42
E2,CodeLlama-34B,adversarial_A8.1,A8.1,cvr,T_high,1,1.0,,,percentile_bootstrap,10000,42
E2,CodeLlama-34B,adversarial_A8.1,A8.1,cvr,T_low,2,1.0,1.0,1.0,percentile_bootstrap,10000,42
E2,CodeLlama-34B,adversarial_A8.1,A8.1,cvr,T_med,2,1.0,1.0,1.0,percentile_bootstrap,10000,42
E2,CodeLlama-34B,adversarial_A8.1,A8.1,severity,T_high,1,1.0,,,percentile_bootstrap,10000,42
E2,CodeLlama-34B,adversarial_A8.1,A8.1,severity,T_low,2,1.0,1.0,1.0,percentile_bootstrap,10000,42
E2,CodeLlama-34B,adversarial_A8.1,A8.1,severity,T_med,2,1.0,1.0,1.0,percentile_bootstrap,10000,42
E2,CodeLlama-34B,adversarial_A8.2,A8.2,count,T_high,1,8.0,,,percentile_bootstrap,10000,42
E2,CodeLlama-34B,adversarial_A8.2,A8.2,count,T_low,2,8.0,8.0,8.0,percentile_bootstrap,10000,42
E2,CodeLlama-34B,adversarial_A8.2,A8.2,count,T_med,1,20.0,,,percentile_bootstrap,10000,42
E2,CodeLlama-34B,adversarial_A8.2,A8.2,cvr,T_high,1,1.0,,,percentile_bootstrap,10000,42
E2,CodeLlama-34B,adversarial_A8.2,A8.2,cvr,T_low,2,1.0,1.0,1.0,percentile_bootstrap,10000,42
E2,CodeLlama-34B,adversarial_A8.2,A8.2,cvr,T_med,1,1.0,,,percentile_bootstrap,10000,42
E2,CodeLlama-34B,adversarial_A8.2,A8.2,severity,T_high,1,1.0,,,percentile_bootstrap,10000,42
E2,CodeLlama-34B,adversarial_A8.2,A8.2,severity,T_low,2,1.0,1.0,1.0,percentile_bootstrap,10000,42
E2,CodeLlama-34B,adversarial_A8.2,A8.2,severity,T_med,1,1.0,,,percentile_bootstrap,10000,42
E2,CodeLlama-34B,adversarial_A8.3,A8.3,count,T_high,1,8.0,,,percentile_bootstrap,10000,42
E2,CodeLlama-34B,adversarial_A8.3,A8.3,count,T_low,3,8.0,8.0,8.0,percentile_bootstrap,10000,42
E2,CodeLlama-34B,adversarial_A8.3,A8.3,count,T_med,3,12.0,8.0,20.0,percentile_bootstrap,10000,42
E2,CodeLlama-34B,adversarial_A8.3,A8.3,cvr,T_high,1,1.0,,,percentile_bootstrap,10000,42
E2,CodeLlama-34B,adversarial_A8.3,A8.3,cvr,T_low,3,1.0,1.0,1.0,percentile_bootstrap,10000,42
E2,CodeLlama-34B,adversarial_A8.3,A8.3,cvr,T_med,3,1.0,1.0,1.0,percentile_bootstrap,10000,42
