experiment,model,condition,adversarial_type,outcome_metric,tertile,n_tasks,value_mean,ci_lo_95,ci_hi_95,ci_method,n_boot,seed
E2,Qwen2.5-Coder-32B,adversarial_A8.5,A8.5,count,T_high,5,15.2,10.0,20.6,percentile_bootstrap,10000,42
E2,Qwen2.5-Coder-32B,adversarial_A8.5,A8.5,count,T_low,5,14.6,9.8,18.8,percentile_bootstrap,10000,42
E2,Qwen2.5-Coder-32B,adversarial_A8.5,A8.5,count,T_med,5,10.8,9.2,12.2,percentile_bootstrap,10000,42
E2,Qwen2.5-Coder-32B,adversarial_A8.5,A8.5,cvr,T_high,5,1.0,1.0,1.0,percentile_bootstrap,10000,42
E2,Qwen2.5-Coder-32B,adversarial_A8.5,A8.5,cvr,T_low,5,1.0,1.0,1.0,percentile_bootstrap,10000,42
E2,Qwen2.5-Coder-32B,adversarial_A8.5,A8.5,cvr,T_med,5,1.0,1.0,1.0,percentile_bootstrap,10000,42
E2,Qwen2.5-Coder-32B,adversarial_A8.5,A8.5,severity,T_high,5,0.94,0.82,1.0,percentile_bootstrap,10000,42
E2,Qwen2.5-Coder-32B,adversarial_A8.5,A8.5,severity,T_low,5,0.94,0.82,1.0,percentile_bootstrap,10000,42
E2,Qwen2.5-Coder-32B,adversarial_A8.5,A8.5,severity,T_med,5,1.0,1.0,1.0,percentile_bootstrap,10000,42
E2,Qwen2.5-Coder-32B,adversarial_A8.6,A8.6,count,T_high,5,12.6,11.2,14.4,percentile_bootstrap,10000,42
E2,Qwen2.5-Coder-32B,adversarial_A8.6,A8.6,count,T_low,5,14.4,11.8,17.0,percentile_bootstrap,10000,42
E2,Qwen2.5-Coder-32B,adversarial_A8.6,A8.6,count,T_med,5,11.2,8.0,14.0,percentile_bootstrap,10000,42
E2,Qwen2.5-Coder-32B,adversarial_A8.6,A8.6,cvr,T_high,5,1.0,1.0,1.0,percentile_bootstrap,10000,42
E2,Qwen2.5-Coder-32B,adversarial_A8.6,A8.6,cvr,T_low,5,1.0,1.0,1.0,percentile_bootstrap,10000,42
E2,Qwen2.5-Coder-32B,adversarial_A8.6,A8.6,cvr,T_med,5,1.0,1.0,1.0,percentile_bootstrap,10000,42
E2,Qwen2.5-Coder-32B,adversarial_A8.6,A8.6,severity,T_high,5,1.0,1.0,1.0,percentile_bootstrap,10000,42
E2,Qwen2.5-Coder-32B,adversarial_A8.6,A8.6,severity,T_low,5,0.94,0.82,1.0,percentile_bootstrap,10000,42
E2,Qwen2.5-Coder-32B,adversarial_A8.6,A8.6,severity,T_med,5,0.94,0.82,1.0,percentile_bootstrap,10000,42
E2,Qwen2.5-Coder-32B,adversarial_A8.7,A8.7,count,T_high,5,13.6,11.0,16.2,percentile_bootstrap,10000,42
E2,Qwen2.5-Coder-32B,adversarial_A8.7,A8.7,count,T_low,5,16.0,13.2,20.0,percentile_bootstrap,10000,42
E2,Qwen2.5-Coder-32B,adversarial_A8.7,A8.7,count,T_med,5,8.2,6.8,9.4,percentile_bootstrap,10000,42
E2,Qwen2.5-Coder-32B,adversarial_A8.7,A8.7,cvr,T_high,5,1.0,1.0,1.0,percentile_bootstrap,10000,42
E2,Qwen2.5-Coder-32B,adversarial_A8.7,A8.7,cvr,T_low,5,1.0,1.0,1.0,percentile_bootstrap,10000,42
E2,Qwen2.5-Coder-32B,adversarial_A8.7,A8.7,cvr,T_med,5,1.0,1.0,1.0,percentile_bootstrap,10000,42
E2,Qwen2.5-Coder-32B,adversarial_A8.7,A8.7,severity,T_high,5,1.0,1.0,1.0,percentile_bootstrap,10000,42
E2,Qwen2.5-Coder-32B,adversarial_A8.7,A8.7,severity,T_low,5,1.0,1.0,1.0,percentile_bootstrap,10000,42
E2,Qwen2.5-Coder-32B,adversarial_A8.7,A8.7,severity,T_med,5,1.0,1.0,1.0,percentile_bootstrap,10000,42
E3,CodeLlama-34B,baseline,,count,T_high,1,30.0,,,percentile_bootstrap,10000,42
E3,CodeLlama-34B,baseline,,count,T_low,2,15.0,8.0,22.0,percentile_bootstrap,10000,42
E3,CodeLlama-34B,baseline,,count,T_med,2,16.333333,14.666667,18.0,percentile_bootstrap,10000,42
E3,CodeLlama-34B,baseline,,cvr,T_high,1,1.0,,,percentile_bootstrap,10000,42
E3,CodeLlama-34B,baseline,,cvr,T_low,2,1.0,1.0,1.0,percentile_bootstrap,10000,42
E3,CodeLlama-34B,baseline,,cvr,T_med,2,1.0,1.0,1.0,percentile_bootstrap,10000,42
E3,CodeLlama-34B,baseline,,severity,T_high,1,1.0,,,percentile_bootstrap,10000,42
E3,CodeLlama-34B,baseline,,severity,T_low,2,1.0,1.0,1.0,percentile_bootstrap,10000,42
E3,CodeLlama-34B,baseline,,severity,T_med,2,0.95,0.9,1.0,percentile_bootstrap,10000,42
E3,DeepSeek-Coder-V2-16B,baseline,,count,T_high,4,4.916667,2.25,7.5,percentile_bootstrap,10000,42
E3,DeepSeek-Coder-V2-16B,baseline,,count,T_low,4,8.583333,6.75,10.5,percentile_bootstrap,10000,42
E3,DeepSeek-Coder-V2-16B,baseline,,count,T_med,2,7.333333,6.666667,8.0,percentile_bootstrap,10000,42
E3,DeepSeek-Coder-V2-16B,baseline,,cvr,T_high,4,1.0,1.0,1.0,percentile_bootstrap,10000,42
E3,DeepSeek-Coder-V2-16B,baseline,,cvr,T_low,4,1.0,1.0,1.0,percentile_bootstrap,10000,42
E3,DeepSeek-Coder-V2-16B,baseline,,cvr,T_med,2,1.0,1.0,1.0,percentile_bootstrap,10000,42
E3,DeepSeek-Coder-V2-16B,baseline,,severity,T_high,4,0.7,0.7,0.7,percentile_bootstrap,10000,42
E3,DeepSeek-Coder-V2-16B,baseline,,severity,T_low,4,0.725,0.7,0.775,percentile_bootstrap,10000,42
E3,DeepSeek-Coder-V2-16B,baseline,,severity,T_med,2,0.7,0.7,0.7,percentile_bootstrap,10000,42
E3,Qwen2.5-Coder-32B,baseline,,count,T_high,5,13.8,6.4,24.4,percentile_bootstrap,10000,42
E3,Qwen2.5-Coder-32B,baseline,,count,T_low,5,10.2,8.8,11.6,percentile_bootstrap,10000,42
E3,Qwen2.5-Coder-32B,baseline,,count,T_med,5,9.933333,6.933333,13.133333,percentile_bootstrap,10000,42
E3,Qwen2.5-Coder-32B,baseline,,cvr,T_high,5,1.0,1.0,1.0,percentile_bootstrap,10000,42
E3,Qwen2.5-Coder-32B,baseline,,cvr,T_low,5,1.0,1.0,1.0,percentile_bootstrap,10000,42
E3,Qwen2.5-Coder-32B,baseline,,cvr,T_med,5,1.0,1.0,1.0,percentile_bootstrap,10000,42
E3,Qwen2.5-Coder-32B,baseline,,severity,T_high,5,0.9,0.78,1.0,percentile_bootstrap,10000,42
E3,Qwen2.5-Coder-32B,baseline,,severity,T_low,5,0.94,0.82,1.0,percentile_bootstrap,10000,42
E3,Qwen2.5-Coder-32B,baseline,,severity,T_med,5,0.96,0.88,1.0,percentile_bootstrap,10000,42
