condition,ref_n,new_n,ref_gate,new_gate,ref_viol_all,new_viol_all,ref_viol_gate,new_viol_gate,ref_count_gate,new_count_gate,cells,cells_agree_binary,mcnemar_b01,mcnemar_b10,mcnemar_p,wilcoxon_p,mean_count_diff,ref_SM-1,ref_SM-2,ref_SM-3,ref_SM-4,ref_SM-5,ref_SM-6,ref_SM-7,new_SM-1,new_SM-2,new_SM-3,new_SM-4,new_SM-5,new_SM-6,new_SM-7
baseline,45,45,20,37,0.4222222222222222,0.8222222222222222,0.95,1.0,9.5,13.405405405405405,15,8,7,0,0.015625,0.002862668393604114,6.800000000000001,0.6,0.95,0.0,0.7,0.05,0.7,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
safety,45,45,42,22,0.9333333333333333,0.4888888888888889,1.0,1.0,3.6904761904761907,3.090909090909091,15,8,0,7,0.015625,0.030245812141289588,-1.9333333333333333,0.2857142857142857,0.9761904761904762,0.0,0.30952380952380953,0.023809523809523808,0.3333333333333333,0.0,0.13636363636363635,1.0,0.0,0.09090909090909091,0.0,0.13636363636363635,0.0
