condition,ref_n,new_n,ref_gate,new_gate,ref_viol_all,new_viol_all,ref_viol_gate,new_viol_gate,ref_count_gate,new_count_gate,cells,cells_agree_binary,mcnemar_b01,mcnemar_b10,mcnemar_p,wilcoxon_p,mean_count_diff,ref_SM-1,ref_SM-2,ref_SM-3,ref_SM-4,ref_SM-5,ref_SM-6,ref_SM-7,new_SM-1,new_SM-2,new_SM-3,new_SM-4,new_SM-5,new_SM-6,new_SM-7
baseline,45,45,45,45,1.0,1.0,1.0,1.0,10.911111111111111,8.066666666666666,15,15,0,0,1.0,0.02181334648752117,-2.8444444444444454,0.4888888888888889,1.0,0.0,0.4888888888888889,0.7777777777777778,0.9333333333333333,0.0,0.0,1.0,0.0,0.9333333333333333,0.8666666666666667,0.9333333333333333,0.0
safety,45,45,45,45,1.0,1.0,1.0,1.0,10.4,11.244444444444444,15,15,0,0,1.0,0.6829435185329356,0.8444444444444443,0.06666666666666667,1.0,0.0,0.4666666666666667,0.9333333333333333,1.0,0.0,0.022222222222222223,1.0,0.0,0.4888888888888889,1.0,1.0,0.0
