set,condition,n_tasks,Q,p,rate_Qwen2.5-Coder-32B,rate_DeepSeek-Coder-V2-16B,rate_CodeLlama-34B
as served (Q4_K_M / Q4_0 / Q4_0),baseline,15,12.6,0.0018363047770289067,1.0,0.6,0.4
as served (Q4_K_M / Q4_0 / Q4_0),safety,15,20.0,4.539992976248486e-05,1.0,1.0,0.3333333333333333
all Q4_K_M,baseline,15,8.666666666666666,0.013123728736940971,1.0,0.8666666666666667,0.5333333333333333
all Q4_K_M,safety,15,7.818181818181818,0.020058727982721635,1.0,0.6,0.5333333333333333
all Q4_0,baseline,15,12.6,0.0018363047770289067,1.0,0.6,0.4
all Q4_0,safety,15,20.0,4.539992976248486e-05,1.0,1.0,0.3333333333333333
