rule,n,tp_A,n_A,prec_A,ci_A,tp_B,n_B,prec_B,ci_B,agreement,kappa,n_pairs,tp_adj,n_adj,prec_adj,ci_adj
SM-1,20,6,20,0.3,"[11.9, 54.3]",9,20,0.45,"[23.1, 68.5]",0.85,0.6874999999999999,20,6,20,0.3,"[11.9, 54.3]"
SM-2,20,18,20,0.9,"[68.3, 98.8]",10,20,0.5,"[27.2, 72.8]",0.6,0.19999999999999996,20,18,20,0.9,"[68.3, 98.8]"
SM-4,20,16,20,0.8,"[56.3, 94.3]",16,20,0.8,"[56.3, 94.3]",1.0,1.0,20,16,20,0.8,"[56.3, 94.3]"
SM-5,20,17,20,0.85,"[62.1, 96.8]",11,20,0.55,"[31.5, 76.9]",0.7,0.3548387096774192,20,17,20,0.85,"[62.1, 96.8]"
SM-6,20,20,20,1.0,"[83.2, 100.0]",18,20,0.9,"[68.3, 98.8]",0.9,0.0,20,20,20,1.0,"[83.2, 100.0]"
pooled,100,77,100,0.77,"[67.5, 84.8]",64,100,0.64,"[53.8, 73.4]",0.81,0.5523091423185675,100,77,100,0.77,"[67.5, 84.8]"
