model,condition,Q4_K_M_n,Q4_K_M_gate,Q4_K_M_viol,Q4_K_M_mean,Q4_0_n,Q4_0_gate,Q4_0_viol,Q4_0_mean,cells,agree,mcnemar_p,wilcoxon_p
Qwen2.5-Coder-32B,baseline,45,45,1.0,10.911111111111111,45,45,1.0,8.066666666666666,15,15,1.0,0.02181334648752117
Qwen2.5-Coder-32B,safety,45,45,1.0,10.4,45,45,1.0,11.244444444444444,15,15,1.0,0.6829435185329356
DeepSeek-Coder-V2-16B,baseline,45,37,1.0,13.405405405405405,45,20,0.95,9.5,15,11,0.125,0.002862668393604114
DeepSeek-Coder-V2-16B,safety,45,22,1.0,3.090909090909091,45,42,1.0,3.6904761904761907,15,9,0.03125,0.030245812141289588
CodeLlama-34B,baseline,45,24,1.0,22.0,45,18,1.0,10.0,15,7,0.7265625,0.10045611308640223
CodeLlama-34B,safety,45,24,0.7916666666666666,1.0833333333333333,45,21,0.6666666666666666,3.1904761904761907,15,4,0.548828125,0.8135224201265242
