condition,ref_n,new_n,ref_gate,new_gate,ref_viol_all,new_viol_all,ref_viol_gate,new_viol_gate,ref_count_gate,new_count_gate,cells,cells_agree_binary,mcnemar_b01,mcnemar_b10,mcnemar_p,wilcoxon_p,mean_count_diff,ref_SM-1,ref_SM-2,ref_SM-3,ref_SM-4,ref_SM-5,ref_SM-6,ref_SM-7,new_SM-1,new_SM-2,new_SM-3,new_SM-4,new_SM-5,new_SM-6,new_SM-7
baseline,45,45,18,24,0.4,0.5333333333333333,1.0,1.0,10.0,22.0,15,7,5,3,0.7265625,0.10045611308640223,7.733333333333333,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.2916666666666667,1.0,0.0,1.0,1.0,1.0,0.0
safety,45,45,21,24,0.3111111111111111,0.4222222222222222,0.6666666666666666,0.7916666666666666,3.1904761904761907,1.0833333333333333,15,5,6,4,0.75390625,0.8135224201265242,-0.9111111111111112,0.47619047619047616,0.23809523809523808,0.0,0.47619047619047616,0.0,0.47619047619047616,0.0,0.0,0.7916666666666666,0.0,0.0,0.0,0.0,0.0
